account,position_start_block,position_end_block,position_start_date,position_end_date,tokenA,tokenB,position_investment_value,position_redemption_value,position_redemption_value_if_held,pool_net_gain,hodl_net_gain,pool_roi,hodl_roi,pool_vs_hodl_roi,claimed_rewards_in_USD
0x16f037a3ddf53da1b047a926e1833219f0a8e1fc,13035025,13267201,2021-08-16,2021-09-21,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,77736.89922949286,94367.37869227829,100603.89320903122,16630.479462785428,22866.993979538354,0.21393288936942748,0.29415881268985283,-0.06199078701452355,1490.8072836837332
0x17fe4ed21e35b5ad800179b0c20447ca3f5280db,12533042,12867523,2021-05-30,2021-07-21,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1514.2643804006243,1175.655059194322,1188.996629155332,-338.6093212063024,-325.2677512452924,-0.22361307945229325,-0.21480248459601045,-0.011220864411102592,0
0x18a229c7b42c09f86df3470f4ee0535d5e1c64a1,13274187,13274906,2021-09-22,2021-09-22,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10991.00709617904,10949.292241524943,10907.68152914352,-41.71485465409751,-83.32556703552109,-0.003795362362071391,-0.007581249498463952,0.003814808148757061,0.524030780994656
0x19b3537851e4da81e17f0c390054f24f28b2d75e,14176055,14411727,2022-02-10,2022-03-18,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,23127.05904453624,26444.99061594455,37390.60818847258,3317.9315714083095,14263.54914393634,0.1434653478861667,0.6167472101173235,-0.29273708299568485,802.5572769982126
0x19fdeaae07671d872c88885fd427583a5b1ca49f,14524619,14524625,2022-04-05,2022-04-05,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,7931.511804882109,8038.012645128319,8035.783761758308,106.50084024620992,104.27195687619951,0.013427558688200543,0.013146542480339835,0.00027736975459910913,0
0x1a91c0df156a5f38aec0813d055aa0184fc47826,11733334,11774665,2021-01-26,2021-02-02,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,379.74395854926996,2551.2083200739894,639.9352280164983,2171.4643615247196,260.1912694672283,5.718232805652344,0.6851755336970549,2.9866664755768317,7.670793743823268
0x1ac7c010a7623f646d391c0c3e95135004702c8f,12803297,12812770,2021-07-11,2021-07-12,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1796.7565009622417,1783.5343842306636,1757.1806988614273,-13.222116731578126,-39.57580210081437,-0.007358880696687116,-0.022026246783924144,0.014997709334226256,0
0x1ac7c010a7623f646d391c0c3e95135004702c8f,13075188,13173235,2021-08-22,2021-09-06,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2964.137554270187,2320.2049167945765,1782.2749897654514,-643.9326374756106,-1181.8625645047357,-0.21724114542118675,-0.39872055289813535,0.3018220701733109,21.26792565787447
0x1b12399bc51c22bae041ea6b425440aae1ae4f40,12801326,12900082,2021-07-10,2021-07-26,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1106.495887094662,963.5811891861281,921.0017692066397,-142.91469790853398,-185.4941178880224,-0.1291597190512715,-0.16764103694508642,0.04623163755284289,17.59223365593987
0x21c8dc59f2e9a11c4c1a0c310641968132c6b1be,13549368,13887692,2021-11-04,2021-12-27,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,946581.7379112893,912129.051790892,899917.6408782356,-34452.686120397295,-46664.09703305375,-0.036396947818177844,-0.04929748289463299,0.013569476091989108,5417.503207493977
0x21c8dc59f2e9a11c4c1a0c310641968132c6b1be,13900361,14062517,2021-12-29,2022-01-23,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,888723.7698301687,788143.6834352142,782426.4724069008,-100580.08639495447,-106297.29742326785,-0.11317362020616924,-0.11960667761095307,0.007307026576856598,2101.9760496979784
